I1,I2,I3,V1,V2,ECM tc [min],ECM Cr [%],EM tc [min],EM Cr [%]
0.2,0.4,0.3,3.7,4.05,218.74024008575844,86.0126111509614,218.15220259022482,86.16513715236432
0.8,0.6,1.0,3.7,4.1,89.83746959960392,84.02046555520643,89.58293130342177,84.76182640206333
1.0,1.2,1.0,3.8,3.95,58.201371839509335,82.00204413494797,58.017197823615234,83.02684806988
1.4,1.4,1.0,3.7,4.05,47.12539375296643,80.03728146977213,46.95921196314359,81.509486011863
