Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
15.0,-5.0,0.0,3.200350489461718,-0.04007009789234326,0.0,15.0
15.0,-5.0,0.016666666666666666,3.600733869437018,-0.05794943179564767,0.016666666666666666,15.313725867520816
15.0,-5.0,0.03333333333333333,3.629692111884625,-0.04006902778350466,0.03333333333333333,15.579946275858958
15.0,-5.0,0.05,3.638326860697929,-0.032274909818639855,0.05,15.817850120446792
15.0,-5.0,0.06666666666666667,3.6422312753430193,-0.02878208085740326,0.06666666666666667,16.03308319511848
15.0,-5.0,0.08333333333333333,3.6449543480492053,-0.027035563834678644,0.08333333333333333,16.22894617668402
15.0,-5.0,0.1,3.6483345122194817,-0.026184318956604447,0.1,16.40777826421146
15.0,-5.0,0.11666666666666667,3.6553099858901827,-0.0262805121032101,0.11666666666666667,16.571414938896737
15.0,-5.0,0.13333333333333333,3.6670938851414916,-0.02702562874889143,0.13333333333333333,16.721368897471223
15.0,-5.0,0.15,3.6787911951916406,-0.02670170496481097,0.15,16.85893944792946
15.0,-5.0,0.16666666666666666,3.691196562375286,-0.026150100507952436,0.16666666666666666,16.98512227448697
15.0,-5.0,0.18333333333333332,3.7013568511666093,-0.025210397009991416,0.18333333333333332,17.10123823254264
15.0,-5.0,0.2,3.7102364952043265,-0.024239149806545957,0.2,17.20799532667212
15.0,-5.0,0.21666666666666667,3.722367245276694,-0.024535185548371887,0.21666666666666667,17.306179902331735
15.0,-5.0,0.23333333333333334,3.7306589470918983,-0.023406916501364707,0.23333333333333334,17.396521649940382
15.0,-5.0,0.25,3.736538280544087,-0.022421955234724324,0.25,17.479679274991724
15.0,-5.0,0.2666666666666666,3.741759129616305,-0.02197436623472191,0.26666666666666666,17.556251795399476
15.0,-5.0,0.28333333333333327,3.746198356541904,-0.021544711927049855,0.2833333333333333,17.626768593783254
15.0,-5.0,0.29999999999999993,3.750382918488515,-0.02126025483106693,0.3,17.69177708457613
15.0,-5.0,0.3166666666666666,3.7547317956093886,-0.021092355682927444,0.31666666666666665,17.751422610114957
15.0,-5.0,0.33333333333333326,3.75941001277604,-0.020980263718712956,0.3333333333333333,17.806718939587427
15.0,-5.0,0.3499999999999999,3.764479700735391,-0.02089944754153077,0.35,17.85792252815895
15.0,-5.0,0.3666666666666666,3.7699700196461237,-0.020841904120865354,0.36666666666666664,17.905195363981477
15.0,-5.0,0.3833333333333333,3.7758987593204174,-0.020804473848993688,0.38333333333333336,17.94902087693623
15.0,-5.0,0.4,3.7822802868551726,-0.020785604031379815,0.4,17.989428533708633
15.0,-5.0,0.4166666666666667,3.789125418274625,-0.02078399635896329,0.4166666666666667,18.026933816704855
15.0,-5.0,0.43333333333333335,3.7964439890772175,-0.02079874741828727,0.43333333333333335,18.06158365144705
15.0,-5.0,0.45,3.804243677155184,-0.02082898578101391,0.45,18.093688578605622
15.0,-5.0,0.4666666666666667,3.8125318452600245,-0.02087415870689977,0.4666666666666667,18.12325886273277
15.0,-5.0,0.48333333333333334,3.8213146635039874,-0.02093372023683031,0.48333333333333334,18.15094132015753
15.0,-5.0,0.5,3.830605431193548,-0.021008369866573243,0.5,18.176862734176154
15.0,-5.0,0.5166666666666667,3.8404425275935052,-0.021102125841504994,0.5166666666666667,18.201257140199232
15.0,-5.0,0.5333333333333332,3.8509616880882316,-0.021231107079368795,0.5333333333333333,18.224046269378903
15.0,-5.0,0.5499999999999999,3.8626352958335466,-0.021450591996579595,0.55,18.245484490000024
15.0,-5.0,0.5666666666666665,3.8768559105517184,-0.02190379099808979,0.5666666666666667,18.265763242309106
15.0,-5.0,0.5833333333333333,3.895723672804225,-0.022649082361301254,0.5833333333333334,18.285024924668676
15.0,-5.0,0.5999999999999999,3.9171772503615228,-0.022951246523769165,0.6,18.303424441833613
15.0,-5.0,0.6166666666666666,3.9355688161252473,-0.022519572708890403,0.6166666666666667,18.321077080856924
15.0,-5.0,0.6333333333333332,3.9508776072265976,-0.022249608407280342,0.6333333333333333,18.338131797060214
15.0,-5.0,0.6499999999999999,3.9652280637280306,-0.022276004817729955,0.65,18.354746306884067
15.0,-5.0,0.6666666666666665,3.9796374476226584,-0.022428477202429953,0.6666666666666666,18.371049825804505
15.0,-5.0,0.6833333333333332,3.9944232621132314,-0.022627518133321003,0.6833333333333333,18.38716866394293
