Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
15.0,-3.0,0.21000000000000002,3.68374759320085,-0.0294735602495777,0.35,16.426286165018325
15.0,-3.0,0.22000000000000003,3.691533719992116,-0.02978421442184335,0.36666666666666664,16.44784612040479
15.0,-3.0,0.23000000000000007,3.6981463995623765,-0.029129839527770002,0.38333333333333336,16.46743939411334
15.0,-3.0,0.24,3.7027747281043495,-0.02802476550223476,0.4,16.48520984629363
15.0,-3.0,0.25,3.7065654021540824,-0.02737777058246967,0.4166666666666667,16.501330568283322
15.0,-3.0,0.26,3.710125948996177,-0.027034610966860807,0.43333333333333335,16.515885896837972
15.0,-3.0,0.27,3.713415880379759,-0.02671047203814029,0.45,16.52900297474065
15.0,-3.0,0.28,3.716368195334826,-0.026374621542140392,0.4666666666666667,16.54074257217627
15.0,-3.0,0.29000000000000004,3.7190830160920436,-0.02608993584203182,0.48333333333333334,16.551326028157973
15.0,-3.0,0.30000000000000004,3.7217064530283026,-0.025874873967251705,0.5,16.560802205500238
15.0,-3.0,0.31000000000000005,3.7243449407342206,-0.02571287380268572,0.5166666666666667,16.56925332643692
15.0,-3.0,0.31999999999999995,3.7270595566751905,-0.02558498188086015,0.5333333333333333,16.576778164742734
15.0,-3.0,0.32999999999999996,3.7298827981341804,-0.02547924031730527,0.55,16.583444325129847
15.0,-3.0,0.3399999999999999,3.7328319955199243,-0.02538926138627214,0.5666666666666667,16.589396262053754
15.0,-3.0,0.3499999999999999,3.735917479648953,-0.02531189133745822,0.5833333333333334,16.59457356594055
15.0,-3.0,0.3599999999999999,3.7391457977251146,-0.02524542945652704,0.6,16.599038140594757
15.0,-3.0,0.3699999999999999,3.742521898816701,-0.025188951619434647,0.6166666666666667,16.602764128504646
15.0,-3.0,0.37999999999999984,3.746049149034347,-0.02514166364160412,0.6333333333333333,16.606029862225114
15.0,-3.0,0.38999999999999985,3.7497309355704265,-0.025103131606655893,0.65,16.608825076773655
15.0,-3.0,0.3999999999999999,3.753570133490328,-0.025072969047594224,0.6666666666666666,16.611195730010706
15.0,-3.0,0.4099999999999999,3.757569341369912,-0.02505085168964157,0.6833333333333333,16.61316495731313
15.0,-3.0,0.4199999999999999,3.761730870915127,-0.025036482880240147,0.7,16.614768039240005
15.0,-3.0,0.4299999999999999,3.7660567845532746,-0.025029589535750258,0.7166666666666667,16.616045313903157
15.0,-3.0,0.43999999999999984,3.7705489773021807,-0.025029938920317314,0.7333333333333333,16.617008732071156
15.0,-3.0,0.44999999999999984,3.775209101083032,-0.02503730416524815,0.75,16.61770146537566
15.0,-3.0,0.45999999999999985,3.7800388567506986,-0.025051548716219358,0.7666666666666667,16.618090366176546
15.0,-3.0,0.4699999999999998,3.785039554723231,-0.025072466116144998,0.7833333333333333,16.61827824944413
15.0,-3.0,0.48,3.790212711706587,-0.025099942001885957,0.8,16.618327665619972
15.0,-3.0,0.48999999999999994,3.7955605194346336,-0.025134036119659253,0.8166666666666667,16.61826383543206
15.0,-3.0,0.49999999999999994,3.801086661728622,-0.025175098807831198,0.8333333333333334,16.6180858932928
15.0,-3.0,0.5099999999999999,3.806798145424457,-0.025224036764905772,0.85,16.617823177731736
15.0,-3.0,0.5199999999999999,3.812709670385799,-0.025283006797126657,0.8666666666666667,16.61748727698034
15.0,-3.0,0.5299999999999999,3.8188529064779386,-0.025356822994670125,0.8833333333333333,16.617111377367223
15.0,-3.0,0.5399999999999999,3.8252962567616926,-0.025455879247006763,0.9,16.61667714711956
15.0,-3.0,0.5499999999999999,3.832183425466984,-0.025601291728812498,0.9166666666666666,16.616208127431946
15.0,-3.0,0.5599999999999999,3.839796689669022,-0.02583107119626963,0.9333333333333333,16.61574274466068
15.0,-3.0,0.57,3.848611812802939,-0.02619528935950033,0.95,16.615294201261463
15.0,-3.0,0.58,3.859169183357389,-0.026699987725883407,0.9666666666666667,16.614875825414515
15.0,-3.0,0.59,3.871483837891466,-0.02718161879844875,0.9833333333333333,16.614500316481212
15.0,-3.0,0.6,3.8844231645137977,-0.027334543812607137,1.0,16.61418150921014
15.0,-3.0,0.61,3.8964327152377214,-0.027101118105059108,1.0166666666666666,16.613930533350924
15.0,-3.0,0.6200000000000001,3.9069191444379467,-0.026767007493688766,1.0333333333333334,16.61376054753265
15.0,-3.0,0.6300000000000001,3.916239406627507,-0.02655571638408505,1.05,16.613687622879354
15.0,-3.0,0.6399999999999999,3.9249449908425085,-0.026491978763663788,1.0666666666666667,16.613741293430678
15.0,-3.0,0.6499999999999999,3.933422055748918,-0.02652632599610616,1.0833333333333333,16.61391472978613
15.0,-3.0,0.66,3.9418807950997294,-0.026614982502465225,1.1,16.61422545863263
15.0,-3.0,0.67,3.950424028274347,-0.02673287698536978,1.1166666666666667,16.614687603357595
15.0,-3.0,0.68,3.959099796193818,-0.026867707227425854,1.1333333333333333,16.61530858468973
15.0,-3.0,0.6900000000000001,3.9679301600029078,-0.02701387028083424,1.15,16.616101426031094
15.0,-3.0,0.7000000000000002,3.976925289744427,-0.02716896872299464,1.1666666666666667,16.61708301744693
15.0,-3.0,0.7100000000000002,3.9860900593568,-0.02733209612834786,1.1833333333333333,16.618259883598853
15.0,-3.0,0.72,3.9954270435866714,-0.027503034144642204,1.2,16.619644073571806
15.0,-3.0,0.73,4.004937898188188,-0.027681893010658893,1.2166666666666666,16.621277545004034
15.0,-3.0,0.7400000000000001,4.014623981119728,-0.027868956850550575,1.2333333333333334,16.62312131025402
15.0,-3.0,0.7500000000000001,4.0244867385931,-0.028064634034183022,1.25,16.62521510230846
15.0,-3.0,0.7600000000000001,4.034527755862836,-0.02826940321858092,1.2666666666666666,16.62756899166726
15.0,-3.0,0.7700000000000002,4.0447488926418025,-0.028483819930739486,1.2833333333333334,16.630204206932035
15.0,-3.0,0.7800000000000002,4.055152344331265,-0.02870851860135515,1.3,16.633145359371667
15.0,-3.0,0.7900000000000003,4.065740762641159,-0.02894424230605086,1.3166666666666667,16.636384213648398
15.0,-3.0,0.7999999999999999,4.076517205635166,-0.02919181843193641,1.3333333333333333,16.63996102281817
15.0,-3.0,0.81,4.087485340108675,-0.029452221225608383,1.35,16.643875332052062
15.0,-3.0,0.8200000000000001,4.098649417110815,-0.029726555530359633,1.3666666666666667,16.64822179118687
15.0,-3.0,0.8300000000000001,4.110014384658638,-0.030016095071378736,1.3833333333333333,16.653062086914645
15.0,-3.0,0.8400000000000001,4.121586147718364,-0.030322370789713855,1.4,16.658228936171042
15.0,-3.0,0.8500000000000002,4.133371898518509,-0.03064725704540283,1.4166666666666667,16.66385140603211
15.0,-3.0,0.8600000000000002,4.145379947344361,-0.030992925620346057,1.4333333333333333,16.66995440984516
15.0,-3.0,0.8700000000000002,4.15762037581822,-0.03136205397767681,1.45,16.676581156002783
15.0,-3.0,0.8799999999999999,4.170105275973094,-0.031757901146228854,1.4666666666666666,16.683831966066123
15.0,-3.0,0.89,4.182849854418973,-0.03218467090189551,1.4833333333333334,16.69170703790985
15.0,-3.0,0.9,4.195873046035972,-0.032647709690934924,1.5,16.700303602075223
15.0,-3.0,0.9031147099250693,4.199989997813848,-0.03280040847564525,1.5051911832084488,16.703134758876843
15.0,-3.0,0.9031147099252361,4.199999999522705,-0.032798166891207,1.5051911832087268,16.703134758876843
15.0,-3.0,0.9122899393258234,4.199999987732686,-0.03497833388983144,1.5218578498751154,16.698811295049154
15.0,-3.0,0.9200414260594875,4.200000013645228,-0.03649773168085624,1.5385245165417822,16.67534539649847
15.0,-3.0,0.9267201976856624,4.199999259624003,-0.0377483659967293,1.5551911832084488,16.639548091990264
15.0,-3.0,0.9325325035754555,4.199999675258814,-0.03882625005831,1.5718578498751155,16.595533010487657
15.0,-3.0,0.9376260464558779,4.199999889060274,-0.03977481142630602,1.588524516541782,16.546115276066473
15.0,-3.0,0.9421137067282571,4.199999990795812,-0.04061768949624691,1.605191183208449,16.493277197099076
15.0,-3.0,0.9460849529822691,4.200000138763897,-0.04137059636944326,1.6218578498751155,16.43846051717412
15.0,-3.0,0.949612170278047,4.200000426392188,-0.042045593996143896,1.638524516541782,16.382753713140517
15.0,-3.0,0.9527547791186917,4.200000103380635,-0.04265266619276294,1.6551911832084487,16.32693395007294
15.0,-3.0,0.9555622286935291,4.199999999999998,-0.04319994673753347,1.6718578498751155,16.27158816875931
15.0,-3.0,0.95807610775829,4.199999982878792,-0.043694543245677606,1.6885245165417822,16.217153211671757
15.0,-3.0,0.9603316179479332,4.199999999819006,-0.04414293959604382,1.7051911832084488,16.16393087963172
15.0,-3.0,0.9623588650248515,4.200000045795025,-0.04455030351620117,1.7218578498751156,16.112136279754736
15.0,-3.0,0.9641838063795646,4.200000112034131,-0.044921221965507574,1.7385245165417822,16.06193141731694
15.0,-3.0,0.9658288717835285,4.200000263036941,-0.04525974718308241,1.7551911832084488,16.013416815885762
15.0,-3.0,0.967313567943786,4.199999873918618,-0.04556960600919458,1.7718578498751154,15.966649771551374
15.0,-3.0,0.9686549822221525,4.200000029772224,-0.04585331408344854,1.7885245165417822,15.921661707397675
15.0,-3.0,0.9698681224038403,4.19999983549016,-0.046113955339506484,1.8051911832084488,15.878459393273886
15.0,-3.0,0.9709662106465263,4.200000021308155,-0.046353443185010806,1.8218578498751155,15.837030867476983
15.0,-3.0,0.9719609338054269,4.199999991523128,-0.046574078837567326,1.838524516541782,15.797350266412991
