Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
15.0,-0.5,0.0,3.066697078454228,-0.1333941569084525,0.0,15.0
15.0,-0.5,0.0016666666666666668,3.1629255457880374,-0.23275622774414823,0.016666666666666666,15.01159635700526
15.0,-0.5,0.0033333333333333335,3.2061388476202777,-0.2348635458155704,0.03333333333333333,15.021709227176643
15.0,-0.5,0.005000000000000001,3.23974738050971,-0.22569135226540832,0.05,15.030779062826866
15.0,-0.5,0.006666666666666667,3.268181198793374,-0.21333820562012923,0.06666666666666667,15.038981024066118
15.0,-0.5,0.008333333333333333,3.2930954419653102,-0.2004271717247797,0.08333333333333333,15.046427254375885
15.0,-0.5,0.010000000000000002,3.315312219217761,-0.18798179812884813,0.1,15.053201708830727
15.0,-0.5,0.011666666666666669,3.3352973133472044,-0.1763728327485428,0.11666666666666667,15.059371495017672
15.0,-0.5,0.013333333333333332,3.353359734721126,-0.1657114372862676,0.13333333333333333,15.064993187839491
15.0,-0.5,0.015,3.3697255947130293,-0.15599167665173844,0.15,15.07011594089164
15.0,-0.5,0.016666666666666666,3.3845723849240015,-0.14715436883037827,0.16666666666666666,15.074718319002898
15.0,-0.5,0.018333333333333333,3.398053220116873,-0.13913129487171008,0.18333333333333332,15.078960707175042
15.0,-0.5,0.020000000000000004,3.4102990275270435,-0.1318457986328392,0.2,15.082845920277066
15.0,-0.5,0.02166666666666667,3.421424726301418,-0.1252216356937961,0.21666666666666667,15.086374766389838
15.0,-0.5,0.023333333333333338,3.4315378310679567,-0.1191971212320109,0.23333333333333334,15.089606275639312
15.0,-0.5,0.025000000000000005,3.4407327960400664,-0.11371094587659061,0.25,15.09252140656588
15.0,-0.5,0.02666666666666667,3.4490967474931864,-0.10871113883591835,0.26666666666666666,15.09517471194556
15.0,-0.5,0.028333333333333335,3.4567078951415233,-0.10414956039566728,0.2833333333333333,15.097561871628216
15.0,-0.5,0.030000000000000002,3.4636372335395103,-0.09998323967980663,0.3,15.099692950622796
15.0,-0.5,0.03166666666666667,3.4699494808174562,-0.09617439521115492,0.31666666666666665,15.101507659876404
15.0,-0.5,0.03333333333333333,3.4757024709980495,-0.09268743744811837,0.3333333333333333,15.10315246756835
15.0,-0.5,0.034999999999999996,3.4809490027645276,-0.08949121396673744,0.35,15.104664533211633
15.0,-0.5,0.03666666666666666,3.4857371261685923,-0.08655818392800897,0.36666666666666664,15.106015534166318
15.0,-0.5,0.03833333333333333,3.490110182173276,-0.08386321042570179,0.38333333333333336,15.107219118011756
15.0,-0.5,0.04000000000000001,3.4941074583101313,-0.0813837562890223,0.4,15.108289410678708
15.0,-0.5,0.04166666666666667,3.4977645584285506,-0.07909959205559326,0.4166666666666667,15.109224430689949
15.0,-0.5,0.043333333333333335,3.5011137069825686,-0.07699247641527764,0.43333333333333335,15.11002886608253
15.0,-0.5,0.045,3.5041840641397832,-0.07504594779842756,0.45,15.110716121630219
15.0,-0.5,0.04666666666666666,3.5070021632520367,-0.07324544992632466,0.4666666666666667,15.11122777309805
15.0,-0.5,0.048333333333333325,3.509591740304745,-0.07157727720651509,0.48333333333333334,15.111649043168939
