Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.033471022352279,5.855344359513915,0.8042731377398372,6.3089638596298,5.034162967891228,0.0,0.8932262577060442,0.0063349849943205,0.0,0.0,0.0,0.19663519686865114,100.0
41,0.0334837408506598,5.585395953205392,0.8145389253508999,5.806425266350881,4.695070071563972,0.0035707591929307,0.8740812760835069,0.005939855149718,7.965469520194823,4.610290868203237,6.708301547476447,0.18344431491422805,93.26416529440843
82,0.0334731376906984,5.547817437041552,0.8062685310596225,5.750557635229471,4.603458299204431,0.0038842144836849,0.8632513976002905,0.0057447225506179,8.850997355896961,5.252072356302762,8.499208226378052,0.17992276204043609,91.44436381114583
123,0.0334675540251531,5.521343740968317,0.8006520663336029,5.692556790580715,4.52599652142515,0.0035123140767592,0.8531949127552935,0.0055793621114568,9.77033761428543,5.704201120176744,10.010622957887604,0.17695078870763045,89.90564171825083
164,0.0334635038152154,5.493432943043972,0.7957143614962746,5.6432401979503775,4.459602196506245,0.0039013110636926,0.8452695716681399,0.0054587565468395,10.552028454930564,6.180873305630607,11.306732210103243,0.17440218172790342,88.58676655782438
205,0.0334625315551018,5.481094330076134,0.7943843086974003,5.582611460978491,4.404912148049816,0.0040946530944597,0.8371181307442933,0.0053428038677331,11.513022024093988,6.391597256439574,12.370969937242094,0.17230951577799347,87.50038836933005
246,0.0334608519450286,5.4598222746933045,0.7919234623537125,5.520440143289929,4.342875994959717,0.0043630409177098,0.8288852772215217,0.0052332923247042,12.49846621226548,6.754890242756706,13.579555843784464,0.16993301050133713,86.26808513469547
328,0.0334595829020721,5.453539460186959,0.7899060805255094,5.416975496774646,4.251590523141868,0.0041544429399357,0.8130616292758438,0.0050418097394715,14.138428792766833,6.862190755255804,15.3457667630697,0.166460018183085,84.45476537528197
369,0.0334577814337219,5.429955830631464,0.786762011353081,5.360700622511304,4.191028799908395,0.0041924485368486,0.8052925680568406,0.0049558455118253,15.030411620936723,7.26496176422603,16.524207174243976,0.16414278956059275,83.25175062149378
410,0.0334583269506813,5.418140049064293,0.7877525270293694,5.285711178469397,4.138084036867913,0.0043536382502699,0.7972045570952041,0.0048713030752838,16.219029050206768,7.46675658348328,17.55180609973155,0.16212216839044008,82.20004126329118
451,0.0334582719054812,5.415589615202012,0.7876542349465105,5.230044150106421,4.094388660608665,0.004324528144016,0.7894957399431949,0.004794942922111,17.101377239252212,7.510313951004067,18.395270608357677,0.1604636202933859,81.33206427212214
492,0.0334594763813199,5.389797806885807,0.7897298085834316,5.126568999952942,4.024472219855641,0.0043914814145675,0.7801428148015708,0.0047072681879775,18.74150630728513,7.9507971528895,19.756123886434864,0.15778770377094534,79.94322483249805
533,0.0334583568443454,5.396446165393826,0.7878057912561807,5.086836833033185,3.983876112273274,0.004446532172238,0.7716990415788583,0.004632231136745,19.371279560132518,7.837253728287729,20.53311705319707,0.15625986172782652,79.13681256810979
