Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.0334837591477869,5.8901537609059975,0.8145512851915586,6.287822681043294,5.081494953259768,0.0,0.8961938274292905,0.006402708009253,0.0,0.0,0.0,0.19845838023308654,100.0
20,0.0334817787472588,5.712377630240125,0.8131843332930838,5.969763417921681,4.818720355362434,0.0042065303899056,0.8770395172716068,0.0059965072401666,5.058337031044269,3.018191678556925,5.136322417547101,0.18826491795967365,94.82879348864127
47,0.033469939676768,5.705033086710087,0.8031930149045388,5.932959500093452,4.73127574404743,0.0043184656980372,0.862786031649831,0.005736746414436,5.64365757354598,3.1428835597567817,6.819350593008777,0.18492480750378595,93.1079492859149
57,0.0334662343161979,5.646939025060191,0.7991384749189274,5.8661168914390025,4.654681624754313,0.0042710954040957,0.857750258651789,0.0056524754245523,6.706706136540108,4.129174648377876,8.312818747012251,0.18196089479605362,91.6006346078991
76,0.0334642668524136,5.6270375454106905,0.7967146789366122,5.797152456844729,4.586743896248977,0.0043075543525302,0.8485901406774145,0.0055083185047102,7.803499702334982,4.467051730324201,9.625859324693264,0.17935505573378474,90.26367119200994
97,0.0334632367762086,5.612884062336357,0.7953553054685375,5.745608516668922,4.538701928420709,0.0042610719160581,0.8420853066451308,0.005412531739138,8.623241969100926,4.707342283828464,10.553775442884971,0.17751352843569976,89.31824138699855
113,0.0334628178812295,5.598310309538442,0.7947824980112072,5.699659623262283,4.499531578986504,0.0042139250475042,0.8371931097373579,0.0053438514256533,9.354001975186444,4.954767960466045,11.31144974936038,0.1760098602796264,88.54739836157988
135,0.0334615840462802,5.594167489461721,0.7930230649858265,5.631024098498597,4.4362362276875045,0.0043495494849288,0.8264725612907899,0.0052025637611309,10.445564639168849,5.025102628199463,12.52602987725907,0.17359942423116573,87.30179343859564
162,0.0334594137020664,5.557555961678932,0.7896256716223937,5.536519508735933,4.343737538764552,0.0044725951277418,0.8150507406659272,0.0050646252988542,11.94854261034446,5.646674309838506,14.311921565838304,0.17005517251329405,85.4814887886104
184,0.0334582363611429,5.543759057315169,0.7875904469427578,5.470316778635104,4.281233945261588,0.0045111922355134,0.8057201440305178,0.0049604606899698,13.00141470071714,5.880911053458604,15.512845046316937,0.1676718392260973,84.2514650637444
206,0.0334573390524209,5.527484893093021,0.7859315986201043,5.40539203627117,4.221933814104787,0.00453408791933,0.7972647298931248,0.0048719112237344,14.033961985481891,6.157205440375336,16.653107159696802,0.1654088935054721,83.084483069228
228,0.0334565690086171,5.5174735396038725,0.78442349850599,5.369001673862519,4.185691800131877,0.0044907185800237,0.7920812855727112,0.0048201281981085,14.612705443346275,6.3271730489562135,17.349416224200485,0.16402700981464188,82.37126748392743
250,0.0334566166541505,5.527983335555833,0.7845192514415683,5.311205305959667,4.141618540829734,0.0045877990412341,0.7826662812692663,0.0047304272019079,15.531884797387196,6.148743140696167,18.185598965217487,0.16236753509103094,81.50393887871313
273,0.033455642413837,5.49822953800797,0.7824920508119675,5.21338316113316,4.0553118601929725,0.0046850684808091,0.7710224959181431,0.0046263665042891,17.087624356033217,6.653887806788649,19.845931806603566,0.15907246542753817,79.80548829614598
294,0.0334550377612691,5.485725554497743,0.7811542310494921,5.195854644909506,4.034817656507338,0.0045292944624784,0.7689671621691686,0.0046087092342623,17.366393607534203,6.866174005380243,20.24241183094884,0.15828561759327475,79.40217777681764
