Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.0334957619362027,5.904233175994294,0.8216379213183159,6.238765815094838,5.086239806652252,4.9515823403006115e-19,0.8949522212325804,0.0063741404041521,0.0,0.0,0.0,0.19863728187607152,100.0
39,0.0334845039319696,5.691948104570901,0.8150484581577415,5.756900835931735,4.66012242346565,0.003214548156374,0.852206378736723,0.0055638836833186,7.72372282346645,3.5954723517104936,8.284127174180988,0.1821819168301214,91.62215311536657
80,0.0334630543804414,5.733830301403182,0.7951075322738104,5.815888829201245,4.593385846247665,0.0041383857544717,0.8345655643594293,0.0053080740749985,6.778215410336963,2.8861135648223457,9.53543360793696,0.1796963557421681,90.31005262944961
99,0.0334600639079872,5.664927937172932,0.7906884414550978,5.6708476132338825,4.454832857084571,0.0041920442796793,0.8198483298296442,0.005121069359176,9.10305369191554,4.053112939277892,12.215975556695302,0.17437180007560665,87.58597758717809
138,0.0334581377644417,5.639936409501725,0.7874129807157998,5.525926437830835,4.324100560691651,0.004157029895208,0.8001512787379363,0.0049015576377453,11.42596786594028,4.476394454866039,14.724244141756992,0.16938944353608873,85.01566432310554
179,0.0334560656651499,5.629083420300255,0.7833912734445062,5.451058942753942,4.244281552084399,0.0043772643048926,0.7874476545583218,0.0047753023722625,12.62600481709092,4.660211537931058,16.250398245322028,0.16635793250752698,83.44635159618973
213,0.0334545226905155,5.613783672691979,0.7799610945742615,5.389099069559683,4.178038695331694,0.0044113519061432,0.7777009951108178,0.0046851827003568,13.619147932742823,4.919343370164276,17.519139876124868,0.16383773861807013,82.14395809390015
254,0.0334526481309877,5.601431999611249,0.775120890303719,5.291211163040609,4.077280337371847,0.0045507450344915,0.7613522883756285,0.0045448895098239,15.188174714966827,5.1285436627772185,19.442268719365742,0.16001768775688172,80.16295912825827
295,0.0334508815661958,5.555507114510732,0.7696178954877103,5.167709250984922,3.9543347333432415,0.0045544480005188,0.7452373399103314,0.0044171960502219,17.167763558594707,5.906373462711956,21.80361853305547,0.15532716667138277,77.74573916415422
336,0.0334500328817183,5.52931581960735,0.7665235291171467,5.069063758308129,3.863659920217701,0.0045929065616869,0.7322091644395299,0.0043196775902818,18.74893354638489,6.349975436459731,23.540839205470977,0.15187639874750739,75.96299166162892
377,0.0334491695736318,5.509865240171629,0.7629723033916721,5.003394578120048,3.7961923552904495,0.0045137023712628,0.7224301500181192,0.0042489414782862,19.80153244389749,6.6794099092513,24.83241436868612,0.14931084894991042,74.63651930696308
418,0.0334479132536387,5.513730260218495,0.7568158629137949,5.001725531758916,3.7643554456538273,0.0044013329750562,0.7161718166722755,0.0042045047431582,19.828285273072357,6.613948062951236,25.43243816345317,0.14811897799337548,74.01057733712157
459,0.0334484792742929,5.5174082752034925,0.7597605726690527,4.924711676278384,3.721181463477585,0.0043071971710382,0.7078922176870245,0.004146496539079,21.062725830116424,6.551653521469514,26.252482765133976,0.14649006368642523,73.1617384341706
500,0.0334479592989093,5.499833295546255,0.75706682907132,4.874402927344854,3.670277344873196,0.0041874824328224,0.7007913400238076,0.0040972039540873,21.869115273551,6.849320959955774,27.22817628437044,0.14455197260037295,72.16091817127595
541,0.0334474839059227,5.468699719964938,0.7543495906704774,4.827715564677345,3.6221718493878816,0.0039709310488737,0.695793568874564,0.0040626690692945,22.61745819988024,7.3766303438043135,28.158108095722906,0.14270478132700154,71.21512132893287
