Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.0334804236684785,5.854383118550751,0.8122085665240336,6.250375142799714,5.036924552569737,0.0,0.8938485359994366,0.0063490080986235,0.0,0.0,0.0,0.1967285104013892,100.0
41,0.033462569925688,5.6847144623138615,0.7944378305921599,5.850134695539129,4.615622646273694,0.0037734613978002,0.8453982752055954,0.0054606725460008,6.403462802095216,2.8981474700427667,8.24679883872511,0.18050470589016618,91.63573125031022
82,0.0334557437056171,5.692542182425464,0.7827098447609292,5.738107171358436,4.462061245374849,0.0042634894676453,0.817299078086262,0.0050908299668045,8.195795608066803,2.764440468756868,11.206852855873494,0.1746814357151537,88.58701770901841
123,0.0334526331702696,5.617569788656626,0.7750785240680195,5.52487762193896,4.255641200951256,0.0043270174790443,0.791011748776547,0.0048096616316175,11.607263632751874,4.045060343654927,15.219751441176545,0.1667869201043686,84.48888119199869
164,0.0334513603644933,5.600591154055019,0.7712216968312878,5.376664071799174,4.121800232407183,0.0045044555826901,0.7694094260452669,0.0046124801561757,13.978538104341387,4.335076119148107,17.802703177424593,0.161705517629261,81.83168497738016
205,0.0334504124453683,5.579279983000046,0.7679506107007944,5.270286635824225,4.023653585698934,0.0041752149543524,0.7546283418482528,0.0044905062069386,15.680474924845566,4.699096898509881,19.69926334349632,0.15797444306568198,79.88314185977131
246,0.0334493972586039,5.557217264858005,0.7639543087324037,5.167577743626561,3.9251813558636575,0.0038248477503951,0.7397707751693077,0.0043757304120705,17.32371856784486,5.075955018234424,21.600979995355253,0.1542332242244247,77.92813481514449
287,0.0334483594698557,5.539893559626947,0.7591628991134698,5.032483273703769,3.799206164148218,0.0042805593761513,0.7192388215530396,0.0042262291795214,19.485100354319187,5.371865020710431,24.02679520613814,0.1494609540951612,75.42710089254643
328,0.0334471727311381,5.487232992125581,0.7524133150871087,4.914384912797166,3.6774169669513648,0.0044147169354162,0.7036241038417032,0.0041168278959465,21.374560718032708,6.271371705445494,26.389832494792685,0.14481218603696178,73.00917312877401
369,0.0334466073559131,5.458120073525891,0.7485036359030054,4.815525185553257,3.585057332812,0.004410110382379,0.6902766668851987,0.0040246445839907,22.95622141815552,6.768655842990922,28.176182458349253,0.14129792636310118,71.17552179698575
410,0.0334462709524,5.432391620754886,0.745882763317525,4.726944695772488,3.5070887552958983,0.0044178448104949,0.6790346232163984,0.0039471196802216,24.37342419010133,7.208129178609834,29.684995227693367,0.13832966147722453,69.62758164615852
451,0.0334463983664917,5.422950581777184,0.7469050051527548,4.6501961933075,3.455172334148662,0.0044036784569258,0.6705852182847712,0.0038885407891007,25.601326527345847,7.369393632720911,30.686525435523706,0.13635936601813997,68.59686497360585
492,0.0334465263655452,5.432930919913455,0.7478950470302613,4.575473510079152,3.404518396497984,0.0045312137432128,0.6600914159626722,0.0038150323611153,26.796817702214405,7.198917291590345,31.65276949994249,0.13445848846336708,67.59121287137542
533,0.0334465551574455,5.404475942400623,0.748112933026823,4.491009793315946,3.3429076212148496,0.0045887161241519,0.651990824174944,0.0037574817895174,28.14815605924895,7.68496299335979,32.85033515366733,0.13210253539171551,66.36803045837496
574,0.0334467117567226,5.359164645982731,0.7492688219240851,4.406998394740642,3.285640339446346,0.0044184364452606,0.646534861961118,0.0037182123828009,29.492257759641827,8.458935169425864,33.97445811011621,0.12989106504441358,65.231081092332
