Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.0334866639906044,5.914387398688191,0.816440971447107,6.289084172679551,5.094589438480435,0.0,0.8948758654504909,0.0063723988857995,0.0,0.0,0.0,0.19897105933231787,100.0
41,0.0335022511435969,5.625675331735709,0.8248239675596976,5.783768730624596,4.73609429628641,0.0036186693222367,0.87537349628443,0.0059644112968119,8.034801700541694,4.881521068716554,7.006842638289113,0.1850294703091655,92.96321820388036
82,0.0334855420000731,5.579001998743305,0.8157264199086833,5.713598246954113,4.62793342108678,0.003426280309772,0.8630126549369824,0.005740624433143,9.150552130076573,5.670670136002154,9.097988058468676,0.18086869611445502,90.8401643934463
123,0.033477080967284,5.533048760019443,0.809641117616276,5.617040450426775,4.5167432374314025,0.0036098711325831,0.8497979617931256,0.0055266952093256,10.685875777783426,6.447643905661781,11.245705145705742,0.17659536067451823,88.65764929585009
164,0.0334742375664683,5.518052673991176,0.8072515225764263,5.551443627688307,4.4515132828215815,0.0038870299974406,0.8401923944632613,0.0053856330230724,11.728902408328912,6.70119655646706,12.50009903109377,0.17409947987256183,87.37727223313476
205,0.0334729945103998,5.492997021614113,0.8061382031758013,5.460305641206243,4.37313509836879,0.0040776276865257,0.8296021533577767,0.00524254170094,13.178048006951624,7.124835569065724,14.009570804975924,0.17109606789374615,85.83881294413327
246,0.0334728859385271,5.476129235068042,0.8060385509490144,5.378212246461916,4.307490030860882,0.0038407865410531,0.8200668186157498,0.0051237053709906,14.48337947478202,7.410034785975538,15.271212028523962,0.16858576698627942,84.55028776854056
287,0.0334729303561402,5.458205743898536,0.8060792081422425,5.27876065402893,4.2287700364452006,0.0039455963458748,0.8082275355984101,0.0049877562656246,16.064716116212495,7.713083774167984,16.78164047905215,0.16558045149780679,83.00511920557267
328,0.0334767266665632,5.427252220658827,0.8093546917477928,5.143436523037623,4.137877054394875,0.0039809604852046,0.7959025152901419,0.004858119103961,18.21644643617177,8.23644352646581,18.530283643583505,0.1621011576693966,81.22101112094875
369,0.0334781295118463,5.416330839183628,0.8104724836855782,5.037273362612559,4.05873537711548,0.0038576556475592,0.7828295811907525,0.004731940152631,19.90450080959309,8.421101391076135,20.042664866359505,0.15909195672929613,79.66756548543546
410,0.0334810873582048,5.392646059732742,0.8126907140847252,4.915233034177764,3.971867275142664,0.0039012337165661,0.7700151063068744,0.0046176791900345,21.84501114597801,8.821561791355947,21.70755999162389,0.15577929726178544,77.96246043189211
451,0.0334861305921969,5.352758638007116,0.8161038581457548,4.767257597694243,3.869105845187332,0.0038761393125493,0.7563107723974246,0.0045039464777375,24.197904387991557,9.495975201178798,23.68207624397656,0.15185058135779056,75.94539053457801
492,0.0334833800037878,5.332313604958316,0.8142947739409139,4.651208534226748,3.767096084551012,0.0039330414898535,0.7399489714213916,0.0043770811885543,26.043150218403955,9.84165822243871,25.628959372828685,0.14797684737235128,73.94307490408147
