Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.0334872829587893,5.789833758811102,0.8168274936499819,6.156135803902059,4.989224735689355,0.0092343400863514,0.8952088700590474,0.0063800157813257,0.0,0.0,0.0,0.1948544094443981,100.0
16,0.0334720645765708,5.644545092791814,0.8052746618290962,6.039994239197361,4.826220310356794,0.037834830404958,0.8884958496677671,0.0062308019796308,1.886598483273905,2.50937543410783,3.2475167292110085,0.18852647990008595,96.732870656907
31,0.0334667904581246,5.597953506041377,0.7997862385099804,5.963999816173581,4.733918986940534,0.0389733093872197,0.8791185061845295,0.0060372222704477,3.12104855787444,3.314089156320188,5.0765344532929575,0.18496255821519267,94.88285731202795
45,0.0334644395584144,5.568092186711969,0.7969360859124576,5.885020741152501,4.655520858782357,0.0393960236407398,0.8695714404253494,0.0058563151603434,4.403981188616923,3.8298435039120338,6.626630997793459,0.1819421267475882,93.31150840891335
66,0.0334634881405088,5.528985114473178,0.7956933559434944,5.7429519797664925,4.537501027058314,0.0421193092502185,0.8541386994339043,0.0055942844128967,6.711739917655324,4.505287288101467,8.95642047732399,0.17740242921595129,90.9460140089555
80,0.0334630883857754,5.511017602630955,0.7951536518636393,5.673904345400604,4.4805516150662825,0.0418986746815492,0.846480200312123,0.0054766777182574,7.833346661972474,4.815615919124417,10.078635938740954,0.1752157429059135,89.804565888075
101,0.033463395424764,5.487230809691129,0.7955689498913296,5.553223117312091,4.388593071230336,0.0428019409628982,0.83324624098678,0.0052904074086835,9.793687238150472,5.226453154366739,11.88716095509924,0.1716917521656344,87.96142294087238
158,0.0334674557468501,5.393110397877788,0.8005420610573869,5.170180026441289,4.113810730714832,0.0041707118245926,0.7962574650768343,0.0048616960263788,16.01582240657885,6.852068253765864,17.28992050148477,0.16116423695782403,82.45390714287862
226,0.0334658252816816,5.350441383470557,0.7986515165699747,4.918456106361727,3.905693622866497,0.0043191198989539,0.7634417922986445,0.0045621644631791,20.10481472412986,7.589032667334661,21.354171233030584,0.15324486519653077,78.28257554581478
296,0.0334670125974508,5.278343690845949,0.8000408296687364,4.616318258862915,3.673396605580315,0.0042887962942938,0.7294043786979117,0.0042992019055887,25.012728667602367,8.834279001305612,25.897991719417803,0.1443910306215674,73.62660132953035
