Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.033511930643284,5.834902011155461,0.8289813769991354,6.120875962483319,5.034872632872485,0.0093330351522324,0.8964009085981084,0.0064075062439156,0.0,0.0,0.0,0.19661715660146817,100.0
9,0.0334921123755969,5.697107730832942,0.819669408827269,6.011354216285065,4.8894430730694864,0.0319738887208076,0.8917246233403544,0.0063014226547464,1.7893149096558258,2.3615526029242218,2.8749581486296027,0.19096449563615045,97.11155434492036
18,0.0334854210556736,5.653447268352802,0.8156484399074427,5.9321458158562965,4.802277111542803,0.0327883199889493,0.88292769646616,0.0061138700210143,3.083384596972816,3.109816453742409,4.588129081936532,0.18759610765935947,95.38030972598838
26,0.0334827849769667,5.624232229733055,0.8138874332531412,5.848499699901951,4.725328156190222,0.034657023385015,0.873655801163836,0.0059318209326958,4.449955598689526,3.610511042338616,6.097118505077271,0.1846291755621633,93.85198992599615
39,0.0334815072416693,5.5928502480618425,0.8129914701955532,5.726763257496546,4.623215604409032,0.0375445975834956,0.8601111145713436,0.0056915353925784,6.438828484720283,4.148343239198393,8.094765607528775,0.18070145863039155,91.82388396926349
48,0.0334832999680651,5.5738555988963885,0.8142405104462543,5.639383804975335,4.560484509382199,0.0358795415584004,0.8516753805603872,0.0055556138164627,7.866392987853265,4.473878254681751,9.321054679877305,0.17829036392462533,90.57795185536523
62,0.033487398129947,5.550281813719079,0.8168989034691252,5.498026306026625,4.46193554685387,0.0374595373665099,0.8373989285003409,0.0053466666304347,10.175825490899117,4.877891640549081,11.242435307866138,0.17451259996638227,88.62062403966425
96,0.0335097156894152,5.485171048216347,0.8280839029683301,5.097568671901541,4.19631335507292,0.0043958266960097,0.7985384300514707,0.0048849182830343,16.71831445129641,5.993776112614757,16.407409342374425,0.16435737488052793,83.34497535598727
134,0.0335457028228358,5.512225861629908,0.8399425758035102,4.789127833023821,4.000903933203989,0.0039330771911696,0.7593693598420284,0.004528681520833,21.75747617860876,5.5301040001810575,20.155626715989595,0.15698773645728356,79.4638558894667
183,0.0336335264991648,5.217323781756284,0.8569459515288973,4.038859064438856,3.44472860237972,0.0042743986481105,0.6938817201085208,0.0040494905680052,34.01501534757063,10.58420909585902,30.990217129872946,0.13568507285609085,68.41739312111338
