Cycle number,y100,Cp,x100,Cn,C,Qs,y0,x0,LAMn [%],LAMp [%],LLI [%],n_Li,SOH [%]
0,0.0335021940137076,5.800849799806421,0.8247974365649339,6.133222734747298,5.019033445792771,0.0092223707782493,0.8987260179369301,0.0064620095213624,0.0,0.0,0.0,0.1959969136268317,100.0
19,0.0334811657364317,5.641716213460478,0.8127474229529923,5.99196122563016,4.832416678511705,0.0344744282085844,0.8900319909945545,0.0062641203172193,2.3032183115873406,2.743280585393759,3.6962692639087136,0.18875233995023344,96.28181861514594
37,0.0334746114061666,5.585765557130557,0.8075777966382519,5.866119147988314,4.702365391625325,0.0364689932607949,0.8753225807722423,0.0059634289454439,4.355028315631337,3.7078057543058818,6.256961785100968,0.1837334616412235,93.69065662567174
54,0.0334736415127068,5.546539709680766,0.8067231612005208,5.726621390373299,4.587167004082346,0.0375286210631172,0.8605058533394863,0.0056981428897984,6.629489290686131,4.38401439275572,8.51981621545157,0.1792983367978683,91.39542610395554
75,0.0334739991998467,5.5009631665865815,0.8070414711145081,5.545914978713983,4.44579966476524,0.0392233644551412,0.8416596805309793,0.0054064511351437,9.575842610540908,5.1697017431798775,11.290388517718409,0.1738681005956254,88.5788013325943
93,0.0334772064467157,5.471148441179028,0.8097419485675993,5.40210014089492,4.34610819992576,0.0392217434449578,0.8278457465532928,0.0052199873723784,11.920692032106706,5.683673427269143,13.240828485028777,0.17004529845755292,86.5925331413941
114,0.0334804592170931,5.442706589885977,0.8122342794893187,5.23439685592764,4.225356902353402,0.0388362054796991,0.8098142248853105,0.0050052866076575,14.655034028479497,6.173978335594821,15.595384107931975,0.1654304421070356,84.18666557991017
181,0.0334901210576686,5.325244435754465,0.8185329078126884,4.742631863305853,3.860558030138644,0.0037564409720024,0.7584442666774069,0.0045211646689476,22.67308610142528,8.19889120500632,22.70440761948344,0.15149697543538898,76.91835632963904
257,0.0334793549931178,5.271361004349087,0.8114133034055885,4.39341662298051,3.546707956501462,0.0036288378250394,0.7063052065284773,0.0041354463615272,28.36691551914544,9.127779786247924,28.776831155200323,0.13959521272303455,70.66515883600073
338,0.0334824639426994,4.931932027963004,0.8136649727682868,3.709015685275393,3.0042107779080145,0.0036298853193604,0.6426171318324391,0.0036897575556411,39.525827681713686,14.979146191173797,39.405581823694845,0.11876318945569403,59.856360997679914
